ANDES-A,Order,Family,Genus,Species,,Latitude1,Longitude1,State,,
2993,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2994,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2995,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2996,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2997,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2998,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2999,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
3000,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
3001,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2910,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2911,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2912,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2913,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2914,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2915,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2916,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2917,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2918,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2919,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
2920,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.5431300000,-74.4355200000,Cundinamarca,,
