,ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct,Wikipedia,Photo,Common_name,Phylum
58,2881,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
59,2882,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
60,2883,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
61,2884,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
62,2885,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
63,2886,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
64,2887,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
65,2888,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
66,2854,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
67,2855,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
68,2856,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
69,2857,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
70,2858,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
71,2746,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
72,2747,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
73,2748,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
74,2749,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
75,2750,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
