ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
2982,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2983,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2984,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.43279,-73.92042,Cundinamarca,Cundinamarca,True
2430,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.432886,-73.920631,Cundinamarca,Cundinamarca,True
2431,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.432903,-73.920658,Cundinamarca,Cundinamarca,True
2433,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.432908,-73.920662,Cundinamarca,Cundinamarca,True
2432,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.432911,-73.920658,Cundinamarca,Cundinamarca,True
1474,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367,-73.9194,Cundinamarca,Cundinamarca,True
1475,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367,-73.9194,Cundinamarca,Cundinamarca,True
4426,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367,-73.9194,Cundinamarca,Cundinamarca,True
4428,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4367,-73.9194,Cundinamarca,Cundinamarca,True
2908,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2909,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2986,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2987,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2988,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2989,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
2990,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.54313,-74.43552,Cundinamarca,Cundinamarca,True
